id,ignored,name,country,category,turns,length_km
2689053728,True,Summerton Sprint,USA,kart,6,0.77
1185954707,True,Texas Motor Speedway,USA,oval,4,2.41
1719717729,False,Texas Motor Speedway Infield Course,USA,circuit,4,2.18
533066470,False,Texas Motor Speedway Road Course,USA,circuit,4,4.55
2509185801,False,Watkins Glen International GP,USA,circuit,11,5.43
1590386668,False,Watkins Glen International Short,USA,circuit,8,4.06
1892852585,True,Wildcrest RallyCross,South Africa,circuit,17,4.9
2445435734,False,Willow Springs Horse Thief Mile,USA,circuit,11,1.6
4191654388,False,Willow Springs International Raceway,USA,circuit,9,4.02
1836888499,False,Zhuhai International Circuit,China,circuit,14,4.31
3934256239,False,Zolder,Belgium,circuit,10,4.01
